id,detailed_type,categ_id,default_code,name,sale_ok,purchase_ok,uom_id,uom_po_id,route_ids
setup.product_template.0060,product,Components / Bottle,CBA200,250cc Black PET (45-400),0,1,Units,Units,Buy
setup.product_template.0061,product,Components / Bottle,CBA201,150cc Black PET Round Packer (38-400),0,1,Units,Units,Buy
setup.product_template.0062,product,Components / Bottle,CBA203,2500cc BLK HDPE (CBA020),0,1,Units,Units,Buy
setup.product_template.0063,product,Components / Bottle,CBA212,12oz Black HDPE (89-400),0,1,Units,Units,Buy
setup.product_template.0064,product,Components / Caps - Lids,CBA215,100cc White HDPE Packer-,0,1,Units,Units,Buy
setup.product_template.0065,product,Components / Bottle,CBA218,400cc Black PET (45-400),0,1,Units,Units,Buy
setup.product_template.0066,product,Components / Bottle,CBA226,250cc White PET (Alpha) (REVIVE),0,1,Units,Units,Buy
setup.product_template.0067,product,Components / Caps - Lids,CCA001,100-400 Black Ribbed Lid,0,1,Units,Units,Buy
setup.product_template.0068,product,Components / Caps - Lids,CCA007,110-400 BLK Ribbed,0,1,Units,Units,Buy
setup.product_template.0069,product,Components / Caps - Lids,CCA008,110-400 BLK Smooth,0,1,Units,Units,Buy
setup.product_template.0070,product,Components / Caps - Lids,CCA010,110-400 WHT Ribbed,0,1,Units,Units,Buy
setup.product_template.0071,product,Components / Caps - Lids,CCA011,110-400 WHT Smooth,0,1,Units,Units,Buy
setup.product_template.0072,product,Components / Caps - Lids,CCA012,120-400 BLK Ribbed,0,1,Units,Units,Buy
setup.product_template.0073,product,Components / Caps - Lids,CCA013,120-400 BLK Ribbed Deep Skirt,0,1,Units,Units,Buy
setup.product_template.0074,product,Components / Caps - Lids,CCA018,120mm White Fine Ribbed FS5-4 Printed SFYP Caps,0,1,Units,Units,Buy
setup.product_template.0075,product,Components / Caps - Lids,CCA020,120-400 WHT Smooth Lid,0,1,Units,Units,Buy
setup.product_template.0076,product,Components / Caps - Lids,CCA021,180 mL black smooth lid,0,1,Units,Units,Buy
setup.product_template.0077,product,Components / Caps - Lids,CCA028,38-400 BLK Ribbed SFYP Foam Induction,0,1,Units,Units,Buy
setup.product_template.0078,product,Components / Caps - Lids,CCA029,38-400 BLK Ribbed - Foil Induction,0,1,Units,Units,Buy
setup.product_template.0079,product,Components / Caps - Lids,CCA030,38-400 Blk Smooth Universal Induction Seal,0,1,Units,Units,Buy
setup.product_template.0080,product,Components / Caps - Lids,CCA035,38-400 Org Smooth,0,1,Units,Units,Buy
setup.product_template.0081,product,Components / Caps - Lids,CCA042,38-400 WHT Ribbed,0,1,Units,Units,Buy
setup.product_template.0082,product,Components / Caps - Lids,CCA043,38-400 WHT Smooth,0,1,Units,Units,Buy
setup.product_template.0083,product,Components / Caps - Lids,CCA045,45-400 BLK Ribbed Universal Induction Seal,0,1,Units,Units,Buy
setup.product_template.0084,product,Components / Caps - Lids,CCA046,45-400 BLK Ribbed - Foil Induction,0,1,Units,Units,Buy
setup.product_template.0085,product,Components / Caps - Lids,CCA052,45-400 Silver Smooth Cap C1S 5-10,0,1,Units,Units,Buy
setup.product_template.0086,product,Components / Caps - Lids,CCA053,45-400 WHT Ribbed Universal Induction Seal,0,1,Units,Units,Buy
