Part Number,Description,Category,Item Type,Unit,Replacement Cost,Vendor Lead Time,QC/Transit Lead Time,Buffer Days,Quality Control Group,Material Cost,Buyer
Amazon Deductions 1,Amazon Deductions 1,Other,Components,TBD,0.00,0.00,0,0,,0.00,1
Amino Slim (deleted),Amino Slim (deleted),Other,Finished Goods,TBD,0.00,0.00,0,0,,8.90,1
Amino Slim Labels (deleted),Amino Slim Labels (deleted),Other,Finished Goods,TBD,0.00,0.00,0,0,,0.00,1
BCAA (Smash Powder) .base (del,8-60001-82590-9 20 SERVINGS,Other,Finished Goods,TBD,0.00,0.00,0,0,,2.78,1
BCAA (Smash Powder) .kitted (d,8-60001-82590-9 20 SERVINGS,Other,Finished Goods,TBD,0.00,0.00,0,0,,0.00,1
BOM Notes,BOM Notes,Other,Supplies,Each,0.00,0.00,0,0,,0.00,1
Beef Liver .base (deleted),Beef Liver .base (deleted),Other,Finished Goods,TBD,0.00,0.00,0,0,,4.40,1
Black Lion Labels (deleted),Black Lion Labels (deleted),Other,Finished Goods,TBD,0.00,0.00,0,0,,0.28,1
Bomb Pop MM .base (deleted),UPC 00860001825992,Other,Finished Goods,TBD,0.00,0.00,0,0,,9.22,1
Bomb Pop MM .kitted (deleted),UPC 00860001825992,Other,Finished Goods,TBD,0.00,0.00,0,0,,0.00,1
Bounced Check,Bounced Check,Other,Finished Goods,Each,0.00,0.00,0,0,,0.00,1
CAPX Line Warehouse,CAPX Warehouse Build Out,Other,Supplies,Each,0.00,0.00,0,0,,0.00,1
CBA001,1 Gal White HDPE 110-400,Bottle (B),Components,Each,0.00,0.00,0,0,,0.94,8
CBA002,Bottles 1 Gallon Black HDPE Smooth Side Jar (120-400) Deep Skirt Finish,Bottle (B),Components,Each,1.23,82.00,0,0,07 Packaging Component,1.23,8
CBA003,Bottles 1 Gallon Black HDPE (110-400) Indented Label Panel,Bottle (B),Components,Each,0.91,52.00,0,0,07 Packaging Component,0.91,8
CBA004,Bottles 1 Gallon Black Smooth Packer (110-400),Bottle (B),Components,Each,1.12,67.00,0,0,07 Packaging Component,1.12,8
CBA005,Bottles 1 Gallon Black HDPE (110-400) Canyon Plastics Indented Label Panel,Bottle (B),Components,Each,0.88,43.00,0,0,07 Packaging Component,0.88,8
CBA006,Bottles 1 Gallon Clear PET,Bottle (B),Components,Each,0.00,52.00,0,0,07 Packaging Component,0.00,8
CBA007,Bottles 1 Gallon White HDPE (120-400) Smooth Side Jar Deep Skirt Finish,Bottle (B),Components,Each,0.98,67.00,0,0,07 Packaging Component,0.98,8
CBA008,Bottles 1 Gallon White HDPE Indented Label Panel,Bottle (B),Components,Each,1.20,43.00,0,0,07 Packaging Component,1.20,8
CBA009,Bottles 1 Gallon White PET,Bottle (B),Components,Each,0.97,43.00,0,0,07 Packaging Component,0.97,8
CBA010,Bottles 1000cc White HDPE,Bottle (B),Components,Each,0.00,52.00,0,0,07 Packaging Component,0.00,8
CBA011,Bottles 100cc Clear PET Packer,Bottle (B),Components,Each,0.11,57.00,0,0,07 Packaging Component,0.11,8
CBA012,Bottles 100cc Dark Amber PET,Bottle (B),Components,Each,0.10,50.00,0,0,07 Packaging Component,0.10,8
CBA013,Bottles 100cc White HDPE Alpha,Bottle (B),Components,Each,0.00,85.00,0,0,07 Packaging Component,0.00,8
CBA014,Bottles 120cc Light Amber PET,Bottle (B),Components,Each,0.17,43.00,0,0,07 Packaging Component,0.17,8
CBA015,Bottles 120cc White HDPE (38-400) Setco Berry,Bottle (B),Components,Each,0.09,52.00,0,0,07 Packaging Component,0.09,8
CBA016,Bottles 1250cc White HDPE Alpha,Bottle (B),Components,Each,0.79,52.00,0,0,07 Packaging Component,0.79,8
CBA017,12oz Amber PET Jar,Bottle (B),Components,Each,0.00,0.00,0,0,,0.33,8
CBA018,Bottles 12oz Black PET Jar,Bottle (B),Components,Each,0.52,52.00,0,0,07 Packaging Component,0.52,8
CBA019,Bottles 12oz Clear PET (89-400),Bottle (B),Components,Each,0.34,52.00,0,0,07 Packaging Component,0.34,8
CBA020,Bottles 12oz Dark Amber PET (70-400),Bottle (B),Components,Each,0.26,52.00,0,0,07 Packaging Component,0.26,8
CBA021,12oz Light Amber PET Jar,Bottle (B),Components,Each,0.00,0.00,0,0,,0.32,1
CBA022,Bottles 12oz White HDPE (89-400),Bottle (B),Components,Each,0.37,52.00,0,0,07 Packaging Component,0.37,8
CBA023,Bottles 12oz White PET (89-400),Bottle (B),Components,Each,0.36,52.00,0,0,07 Packaging Component,0.36,8
CBA024,Bottles 13oz Black HDPE (DS Cylinder),Bottle (B),Components,Each,0.36,52.00,0,0,07 Packaging Component,0.36,8
CBA025,Bottles 13oz White HDPE (Cylinder 63mm),Bottle (B),Components,Each,0.17,52.00,0,0,07 Packaging Component,0.17,8
CBA026,13oz White HDPE DS Cylinder Jar,Bottle (B),Components,Each,0.00,0.00,0,0,,0.00,8
CBA027,Bottles 1500cc Black HDPE (110-400),Bottle (B),Components,Each,0.53,43.00,0,0,07 Packaging Component,0.53,8
CBA028,Bottles 1500cc Clear PET,Bottle (B),Components,Each,0.94,52.00,0,0,07 Packaging Component,0.94,8
CBA029,Bottles 1500cc Dark Amber PET Wide Mouth Indent,Bottle (B),Components,Each,0.89,64.00,0,0,07 Packaging Component,0.89,8
CBA030,Bottles 1500cc White HDPE,Bottle (B),Components,Each,0.92,57.00,0,0,07 Packaging Component,0.92,8
CBA031,Bottles 1500cc White PET,Bottle (B),Components,Each,0.75,43.00,0,0,07 Packaging Component,0.75,8
CBA032,Bottles 150cc Black HDPE,Bottle (B),Components,Each,0.20,52.00,0,0,07 Packaging Component,0.20,8
CBA033,Bottles 150cc Clear PET PZ Style,Bottle (B),Components,Each,0.15,43.00,0,0,07 Packaging Component,0.15,8
CBA034,Bottles 150cc Cobalt Blue PET,Bottle (B),Components,Each,0.18,52.00,0,0,07 Packaging Component,0.18,8
