nivel_salarial,fecha_ingreso,fecha_ingreso
20.5,2004-05-01 00:00:00,1
20.5,2004-05-16 00:00:00,1
20.5,2004-08-01 00:00:00,1
20.5,2004-09-01 00:00:00,1
20.5,2004-09-16 00:00:00,2
20.5,2004-10-01 00:00:00,6
20.5,2004-10-16 00:00:00,2
20.5,2004-11-01 00:00:00,2
20.5,2005-03-01 00:00:00,2
20.5,2005-03-16 00:00:00,1
20.5,2005-04-01 00:00:00,1
20.5,2005-05-01 00:00:00,3
20.5,2005-05-16 00:00:00,7
20.5,2005-06-01 00:00:00,1
20.5,2005-06-16 00:00:00,1
20.5,2005-07-01 00:00:00,1
20.5,2005-08-16 00:00:00,1
20.5,2005-11-16 00:00:00,2
20.5,2005-12-16 00:00:00,1
20.5,2006-01-01 00:00:00,1
20.5,2006-03-01 00:00:00,1
20.5,2006-05-01 00:00:00,2
20.5,2006-05-16 00:00:00,1
20.5,2006-06-01 00:00:00,1
20.5,2006-07-16 00:00:00,2
20.5,2006-08-01 00:00:00,2
20.5,2006-09-16 00:00:00,2
20.5,2006-10-01 00:00:00,1
20.5,2006-10-16 00:00:00,2
20.5,2007-03-01 00:00:00,1
20.5,2007-04-01 00:00:00,4
20.5,2007-05-01 00:00:00,3
20.5,2007-06-01 00:00:00,3
20.5,2007-07-01 00:00:00,1
20.5,2007-08-01 00:00:00,8
20.5,2007-09-16 00:00:00,1
20.5,2007-10-01 00:00:00,1
20.5,2007-11-01 00:00:00,1
20.5,2007-12-01 00:00:00,1
20.5,2008-09-01 00:00:00,1
20.5,2008-10-01 00:00:00,2
20.5,2008-11-01 00:00:00,1
20.5,2008-12-01 00:00:00,1
20.5,2009-02-23 00:00:00,2
20.5,2010-02-01 00:00:00,1
20.5,2010-06-01 00:00:00,1
20.5,2010-07-01 00:00:00,1
20.5,2011-06-01 00:00:00,1
20.5,2011-10-01 00:00:00,1
20.5,2012-01-01 00:00:00,1
20.5,2013-09-01 00:00:00,1
20.5,2014-05-01 00:00:00,4
20.5,2016-10-16 00:00:00,1
20.5,NO FECHA,20
29.5,2001-08-16 00:00:00,1
29.5,2002-01-01 00:00:00,47
29.5,2002-01-16 00:00:00,21
29.5,2002-02-01 00:00:00,4
29.5,2002-03-01 00:00:00,2
29.5,2002-04-01 00:00:00,4
29.5,2002-05-01 00:00:00,2
29.5,2002-06-01 00:00:00,2
29.5,2002-07-01 00:00:00,3
29.5,2002-08-01 00:00:00,24
29.5,2002-08-16 00:00:00,3
29.5,2002-09-01 00:00:00,3
29.5,2002-10-01 00:00:00,5
29.5,2002-11-01 00:00:00,3
29.5,2002-11-16 00:00:00,1
29.5,2003-01-01 00:00:00,3
29.5,2003-02-01 00:00:00,5
29.5,2003-03-01 00:00:00,7
29.5,2003-03-16 00:00:00,15
29.5,2003-04-01 00:00:00,5
29.5,2003-04-16 00:00:00,1
29.5,2003-05-01 00:00:00,3
29.5,2003-06-01 00:00:00,6
29.5,2003-06-16 00:00:00,1
29.5,2003-07-01 00:00:00,1
29.5,2003-08-01 00:00:00,5
29.5,2003-08-16 00:00:00,14
29.5,2003-09-16 00:00:00,2
29.5,2003-10-01 00:00:00,5
29.5,2003-10-16 00:00:00,1
29.5,2003-11-01 00:00:00,2
29.5,2003-11-16 00:00:00,1
29.5,2004-01-01 00:00:00,4
29.5,2004-02-01 00:00:00,4
29.5,2004-02-16 00:00:00,1
29.5,2004-03-01 00:00:00,5
29.5,2004-03-13 00:00:00,1
29.5,2004-03-16 00:00:00,3
29.5,2004-04-01 00:00:00,10
29.5,2004-04-16 00:00:00,2
29.5,2004-05-01 00:00:00,4
29.5,2004-06-01 00:00:00,5
29.5,2004-06-16 00:00:00,3
29.5,2004-07-01 00:00:00,2
29.5,2004-08-01 00:00:00,2
29.5,2004-08-16 00:00:00,1
29.5,2004-09-01 00:00:00,52
