,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
,BIMBOA.MX,BOLSAA.MX,GENIUS21.MX,HERDEZ.MX,IVVPESOISHRS.MX,WALMEX.MX,BIMBOA.MX,BOLSAA.MX,GENIUS21.MX,HERDEZ.MX,IVVPESOISHRS.MX,WALMEX.MX,BIMBOA.MX,BOLSAA.MX,GENIUS21.MX,HERDEZ.MX,IVVPESOISHRS.MX,WALMEX.MX,BIMBOA.MX,BOLSAA.MX,GENIUS21.MX,HERDEZ.MX,IVVPESOISHRS.MX,WALMEX.MX,BIMBOA.MX,BOLSAA.MX,GENIUS21.MX,HERDEZ.MX,IVVPESOISHRS.MX,WALMEX.MX,BIMBOA.MX,BOLSAA.MX,GENIUS21.MX,HERDEZ.MX,IVVPESOISHRS.MX,WALMEX.MX
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-02,83.96436309814453,36.02400588989258,37.22999954223633,41.93206024169922,,68.42536163330078,84.6500015258789,38.15999984741211,37.22999954223633,43.029998779296875,,69.1500015258789,85.4000015258789,38.15999984741211,37.22999954223633,43.650001525878906,,69.87999725341797,82.5,37.400001525878906,37.22999954223633,43.0099983215332,,68.41000366210938,82.5,37.720001220703125,37.22999954223633,43.22999954223633,,68.58999633789062,161367.0,29069.0,0.0,10107.0,,1134933.0
2023-01-03,83.82550048828125,35.48591232299805,36.79999923706055,41.64946365356445,70.3499984741211,68.52430725097656,84.51000213623047,37.59000015258789,36.79999923706055,42.7400016784668,70.3499984741211,69.25,85.04000091552734,38.13999938964844,36.79999923706055,43.209999084472656,71.4000015258789,70.02999877929688,83.76000213623047,37.38999938964844,36.79999923706055,42.16999816894531,70.08000183105469,68.80999755859375,84.6500015258789,38.13999938964844,36.79999923706055,43.0099983215332,70.80000305175781,69.01000213623047,697403.0,249209.0,0.0,13379.0,730395.0,4738324.0
2023-01-04,85.19432067871094,35.806880950927734,37.45000076293945,42.12696075439453,70.7699966430664,69.75131225585938,85.88999938964844,37.93000030517578,37.45000076293945,43.22999954223633,70.7699966430664,70.48999786376953,87.1500015258789,38.459999084472656,37.45000076293945,43.93000030517578,71.26000213623047,70.88999938964844,84.97000122070312,37.58000183105469,37.45000076293945,42.619998931884766,70.58999633789062,68.7300033569336,84.9800033569336,37.650001525878906,37.45000076293945,42.619998931884766,70.58999633789062,69.1500015258789,1970927.0,547037.0,0.0,27482.0,931238.0,8848076.0
2023-01-05,86.96981811523438,35.71247863769531,36.86000061035156,42.234153747558594,70.33999633789062,69.67215728759766,87.68000030517578,37.83000183105469,36.86000061035156,43.34000015258789,70.33999633789062,70.41000366210938,89.23999786376953,38.630001068115234,36.86000061035156,43.79999923706055,71.5,71.08999633789062,85.5999984741211,37.70000076293945,36.86000061035156,42.7599983215332,70.33999633789062,69.94000244140625,85.5999984741211,38.29999923706055,36.86000061035156,43.02000045776367,71.0,70.55000305175781,2645337.0,697987.0,0.0,40265.0,2578.0,11016329.0
2023-01-06,87.40625762939453,36.118408203125,37.72999954223633,42.37057876586914,72.0,71.6907730102539,88.12000274658203,38.2599983215332,37.72999954223633,43.47999954223633,72.0,72.44999694824219,89.5,38.959999084472656,37.72999954223633,43.63999938964844,72.0,72.9000015258789,85.80000305175781,38.0099983215332,37.72999954223633,43.22999954223633,70.58999633789062,70.22000122070312,88.86000061035156,38.150001525878906,37.72999954223633,43.61000061035156,70.70999908447266,70.43000030517578,1858177.0,865482.0,0.0,27634.0,411499.0,5278309.0
2023-01-09,89.7570571899414,36.69426345825195,37.90999984741211,42.71165084838867,72.1500015258789,71.61161804199219,90.48999786376953,38.869998931884766,37.90999984741211,43.83000183105469,72.1500015258789,72.37000274658203,90.72000122070312,39.56999969482422,37.90999984741211,44.0,72.97000122070312,72.94000244140625,87.69999694824219,38.43000030517578,37.90999984741211,43.31999969482422,72.1500015258789,71.02999877929688,88.44999694824219,38.43000030517578,37.90999984741211,43.31999969482422,72.19999694824219,72.30999755859375,1959939.0,1019190.0,0.0,60566.0,1492578.0,5688171.0
2023-01-10,89.568603515625,36.43937683105469,38.08000183105469,42.04900360107422,72.30000305175781,71.67098999023438,90.30000305175781,38.599998474121094,38.08000183105469,43.150001525878906,72.30000305175781,72.43000030517578,91.16000366210938,39.220001220703125,38.08000183105469,44.0,72.30000305175781,73.18000030517578,89.30000305175781,38.58000183105469,38.08000183105469,42.66999816894531,71.94999694824219,72.06999969482422,90.16999816894531,39.20000076293945,38.08000183105469,43.9900016784668,71.97000122070312,72.37999725341797,3697483.0,859495.0,0.0,107305.0,320023.0,8241800.0
2023-01-11,89.7173843383789,36.44881820678711,38.400001525878906,41.97104263305664,73.0999984741211,71.95794677734375,90.44999694824219,38.61000061035156,38.400001525878906,43.06999969482422,73.0999984741211,72.72000122070312,92.58000183105469,39.220001220703125,38.400001525878906,43.54999923706055,73.0999984741211,73.5,89.7300033569336,38.59000015258789,38.400001525878906,42.959999084472656,72.80000305175781,71.80999755859375,90.79000091552734,38.630001068115234,38.400001525878906,43.38999938964844,72.80000305175781,72.37999725341797,1874268.0,1384738.0,0.0,101660.0,258479.0,10338782.0
2023-01-12,90.6596908569336,36.58098220825195,38.470001220703125,40.97706604003906,73.69000244140625,72.23501586914062,91.4000015258789,38.75,38.470001220703125,42.04999923706055,73.69000244140625,73.0,92.25,38.97999954223633,38.470001220703125,43.5,73.73999786376953,73.4800033569336,90.55999755859375,38.650001525878906,38.470001220703125,42.04999923706055,72.91000366210938,72.20999908447266,90.80000305175781,38.95000076293945,38.470001220703125,43.38999938964844,72.91000366210938,72.80999755859375,1838003.0,1864073.0,0.0,86027.0,2169.0,13415053.0
2023-01-13,90.49107360839844,36.52433776855469,38.47999954223633,41.474056243896484,73.91999816894531,72.53187561035156,91.2300033569336,38.689998626708984,38.47999954223633,42.560001373291016,73.91999816894531,73.30000305175781,91.98999786376953,38.900001525878906,38.47999954223633,43.400001525878906,73.91999816894531,74.0,90.30000305175781,38.630001068115234,38.47999954223633,42.560001373291016,73.08000183105469,72.68000030517578,91.44999694824219,38.779998779296875,38.47999954223633,42.95000076293945,73.52999877929688,72.9000015258789,1668834.0,1615744.0,0.0,507827.0,90047.0,9350716.0
2023-01-16,91.8896484375,36.49602127075195,38.5099983215332,42.058746337890625,73.93000030517578,71.15644073486328,92.63999938964844,38.65999984741211,38.5099983215332,43.15999984741211,73.93000030517578,71.91000366210938,93.62000274658203,39.0,38.5099983215332,43.38999938964844,73.93000030517578,73.58999633789062,90.58000183105469,38.529998779296875,38.5099983215332,42.79999923706055,73.91999816894531,71.41000366210938,90.58000183105469,39.0,38.5099983215332,42.79999923706055,73.91999816894531,73.52999877929688,441806.0,154728.0,0.0,9968.0,3271.0,5448295.0
2023-01-17,91.115966796875,36.43937683105469,38.41999816894531,41.99053192138672,73.76000213623047,71.01789855957031,91.86000061035156,38.599998474121094,38.41999816894531,43.09000015258789,73.76000213623047,71.7699966430664,93.31999969482422,38.88999938964844,38.41999816894531,43.88999938964844,74.0999984741211,73.22000122070312,90.70999908447266,38.5,38.41999816894531,42.91999816894531,73.68000030517578,71.52999877929688,93.31999969482422,38.88999938964844,38.41999816894531,42.91999816894531,73.91999816894531,71.80000305175781,1724364.0,1293740.0,0.0,19533.0,634446.0,14871779.0
2023-01-18,91.05644989013672,36.42993927001953,38.560001373291016,42.770118713378906,72.80000305175781,71.00801086425781,91.80000305175781,38.59000015258789,38.560001373291016,43.88999938964844,72.80000305175781,71.76000213623047,93.20999908447266,38.939998626708984,38.560001373291016,43.900001525878906,74.01000213623047,72.33999633789062,91.41000366210938,38.279998779296875,38.560001373291016,43.099998474121094,72.80000305175781,71.52999877929688,92.22000122070312,38.90999984741211,38.560001373291016,43.88999938964844,73.76000213623047,71.8499984741211,1585862.0,2012146.0,0.0,10811.0,510405.0,14115164.0
2023-01-19,91.54248046875,36.35441589355469,38.470001220703125,43.36455535888672,72.51000213623047,72.037109375,92.29000091552734,38.5099983215332,38.470001220703125,44.5,72.51000213623047,72.80000305175781,93.93000030517578,38.939998626708984,38.470001220703125,44.59000015258789,72.51000213623047,72.9800033569336,91.87999725341797,38.470001220703125,38.470001220703125,43.720001220703125,72.0999984741211,71.5999984741211,91.93000030517578,38.709999084472656,38.470001220703125,43.720001220703125,72.31999969482422,71.66999816894531,1936879.0,444758.0,0.0,64133.0,8605.0,16593638.0
2023-01-20,91.25482940673828,36.48657989501953,39.34000015258789,43.003997802734375,73.26000213623047,73.13548278808594,92.0,38.650001525878906,39.34000015258789,44.130001068115234,73.26000213623047,73.91000366210938,98.0,38.88999938964844,39.34000015258789,44.540000915527344,73.26000213623047,74.13999938964844,91.5199966430664,38.290000915527344,39.34000015258789,44.060001373291016,72.33000183105469,72.62000274658203,92.62000274658203,38.88999938964844,39.34000015258789,44.5,72.33000183105469,72.9000015258789,2066831.0,860058.0,0.0,7633.0,4260.0,6164426.0
2023-01-23,94.2404556274414,36.48657989501953,40.119998931884766,43.07221221923828,74.62999725341797,73.75887298583984,95.01000213623047,38.650001525878906,40.119998931884766,44.20000076293945,74.62999725341797,74.54000091552734,95.80000305175781,38.97999954223633,40.119998931884766,44.599998474121094,74.62999725341797,74.98999786376953,91.8499984741211,38.529998779296875,40.119998931884766,43.97999954223633,74.16000366210938,72.5,92.13999938964844,38.63999938964844,40.119998931884766,44.38999938964844,74.16000366210938,73.61000061035156,1662727.0,992305.0,0.0,70324.0,6551.0,11764446.0
2023-01-24,95.07364654541016,36.87363052368164,40.20000076293945,42.68241500854492,74.16999816894531,74.51091766357422,95.8499984741211,39.060001373291016,40.20000076293945,43.79999923706055,74.16999816894531,75.30000305175781,97.75,39.439998626708984,40.20000076293945,44.5,74.4800033569336,75.69000244140625,95.0,38.66999816894531,40.20000076293945,43.56999969482422,74.11000061035156,74.30999755859375,95.0,39.0,40.20000076293945,44.5,74.26000213623047,74.54000091552734,3194667.0,2707954.0,0.0,52249.0,14117680.0,18226387.0
2023-01-25,95.01412963867188,37.430606842041016,40.209999084472656,42.63369369506836,74.22000122070312,75.35200500488281,95.79000091552734,39.650001525878906,40.209999084472656,43.75,74.22000122070312,76.1500015258789,96.63999938964844,40.02000045776367,40.209999084472656,44.0,74.23999786376953,76.1500015258789,95.37000274658203,39.02000045776367,40.209999084472656,43.5,73.62000274658203,74.16999816894531,95.8499984741211,39.34000015258789,40.209999084472656,43.72999954223633,73.62000274658203,75.31999969482422,1166595.0,3401169.0,0.0,214995.0,4597.0,9529630.0
2023-01-26,94.78599548339844,38.22358703613281,40.88999938964844,42.5362434387207,75.0,75.14420318603516,95.55999755859375,40.4900016784668,40.88999938964844,43.650001525878906,75.0,75.94000244140625,97.6500015258789,40.5,40.88999938964844,43.900001525878906,75.0,76.4000015258789,95.19999694824219,39.75,40.88999938964844,43.599998474121094,74.54000091552734,75.51000213623047,96.25,39.91999816894531,40.88999938964844,43.900001525878906,74.54000091552734,75.76000213623047,1520417.0,2485305.0,0.0,81871.0,5267.0,10678484.0
2023-01-27,93.5461196899414,38.355751037597656,41.09000015258789,43.6763916015625,75.62000274658203,74.60986328125,94.30999755859375,40.630001068115234,41.09000015258789,44.81999969482422,75.62000274658203,75.4000015258789,96.9000015258789,40.68000030517578,41.09000015258789,44.869998931884766,75.6500015258789,76.41999816894531,94.30000305175781,40.43000030517578,41.09000015258789,43.75,75.0,75.0,96.0999984741211,40.43000030517578,41.09000015258789,43.79999923706055,75.0999984741211,75.94000244140625,924552.0,1619791.0,0.0,284588.0,17629.0,13134508.0
2023-01-30,93.41717529296875,38.24246597290039,40.29999923706055,41.3863525390625,74.51000213623047,74.78797912597656,94.18000030517578,40.5099983215332,40.29999923706055,42.470001220703125,74.51000213623047,75.58000183105469,95.3499984741211,40.81999969482422,40.29999923706055,44.29999923706055,75.31999969482422,76.04000091552734,94.0,40.369998931884766,40.29999923706055,41.529998779296875,74.51000213623047,74.94999694824219,94.9000015258789,40.38999938964844,40.29999923706055,44.099998474121094,75.31999969482422,75.3499984741211,1781819.0,1194344.0,0.0,130562.0,1937.0,11170454.0
2023-01-31,92.73275756835938,38.6011962890625,40.77000045776367,44.42674255371094,75.16999816894531,72.77925109863281,93.48999786376953,40.88999938964844,40.77000045776367,45.59000015258789,75.16999816894531,73.55000305175781,94.9800033569336,40.959999084472656,40.77000045776367,47.0,75.16999816894531,75.58000183105469,93.01000213623047,40.0099983215332,40.77000045776367,42.290000915527344,74.87000274658203,73.30000305175781,94.4800033569336,40.43000030517578,40.77000045776367,42.31999969482422,74.87000274658203,75.44999694824219,4641370.0,1700851.0,0.0,174369.0,3989.0,20776810.0
2023-02-01,93.29814147949219,38.64839553833008,41.08000183105469,43.861541748046875,76.43000030517578,74.09530639648438,94.05999755859375,40.939998626708984,41.08000183105469,45.0099983215332,76.43000030517578,74.87999725341797,94.63999938964844,41.099998474121094,41.08000183105469,46.58000183105469,76.43000030517578,75.61000061035156,92.5999984741211,40.400001525878906,41.08000183105469,44.790000915527344,75.11000061035156,73.91000366210938,93.94999694824219,40.81999969482422,41.08000183105469,45.06999969482422,75.5,73.91000366210938,1353339.0,1835621.0,0.0,254115.0,259839.0,9524892.0
2023-02-02,92.2467269897461,38.61063766479492,42.0,43.85179901123047,76.66999816894531,72.13606262207031,93.0,40.900001525878906,42.0,45.0,76.66999816894531,72.9000015258789,94.68000030517578,40.959999084472656,42.0,45.56999969482422,77.0999984741211,75.04000091552734,92.48999786376953,40.650001525878906,42.0,43.849998474121094,76.27999877929688,72.3499984741211,94.5,40.93000030517578,42.0,45.33000183105469,76.4000015258789,74.81999969482422,4368451.0,1461536.0,0.0,130170.0,13450760.0,9364405.0
2023-02-03,92.87162780761719,38.771121978759766,42.29999923706055,43.764095306396484,76.12000274658203,72.0766830444336,93.62999725341797,41.06999969482422,42.29999923706055,44.90999984741211,76.12000274658203,72.83999633789062,94.0,41.11000061035156,42.29999923706055,45.75,78.97000122070312,73.94999694824219,92.52999877929688,40.68000030517578,42.29999923706055,44.84000015258789,76.12000274658203,72.5199966430664,92.94999694824219,40.79999923706055,42.29999923706055,45.15999984741211,78.97000122070312,72.63999938964844,1882167.0,4229464.0,0.0,74087.0,13439880.0,11988258.0
2023-02-07,90.47122955322266,38.733360290527344,42.56999969482422,42.458282470703125,76.54000091552734,71.63140869140625,91.20999908447266,41.029998779296875,42.56999969482422,43.56999969482422,76.54000091552734,72.38999938964844,94.6500015258789,41.2400016784668,42.56999969482422,45.33000183105469,76.54000091552734,73.08000183105469,90.6500015258789,40.45000076293945,42.56999969482422,43.0,75.4800033569336,71.22000122070312,93.87999725341797,41.0,42.56999969482422,45.0099983215332,75.4800033569336,73.05000305175781,2806239.0,2361523.0,0.0,72500.0,23194.0,15143850.0
2023-02-08,90.00503540039062,38.761680603027344,42.209999084472656,43.85179901123047,75.80999755859375,71.235595703125,90.73999786376953,41.060001373291016,42.209999084472656,45.0,75.80999755859375,71.98999786376953,91.9000015258789,41.5,42.209999084472656,45.29999923706055,76.4800033569336,72.48999786376953,89.04000091552734,40.880001068115234,42.209999084472656,43.0,75.80999755859375,71.30000305175781,91.38999938964844,41.25,42.209999084472656,44.790000915527344,76.4800033569336,72.30000305175781,1789605.0,1567020.0,0.0,40041.0,12984.0,10802574.0
2023-02-09,89.52892303466797,38.64839553833008,41.650001525878906,44.1343994140625,75.06999969482422,70.45387268066406,90.26000213623047,40.939998626708984,41.650001525878906,45.290000915527344,75.06999969482422,71.19999694824219,93.0,41.47999954223633,41.650001525878906,45.77000045776367,76.08000183105469,72.54000091552734,89.13999938964844,40.63999938964844,41.650001525878906,44.02000045776367,75.06999969482422,70.5,91.06999969482422,41.099998474121094,41.650001525878906,44.560001373291016,76.08000183105469,72.22000122070312,2478199.0,1329103.0,0.0,59565.0,233490.0,11425507.0
2023-02-10,88.34856414794922,37.19459915161133,40.88999938964844,44.83602523803711,75.29000091552734,70.38460540771484,89.06999969482422,39.400001525878906,40.88999938964844,46.0099983215332,75.29000091552734,71.12999725341797,90.80000305175781,40.959999084472656,40.88999938964844,46.9900016784668,75.33999633789062,71.93000030517578,88.58999633789062,39.189998626708984,40.88999938964844,44.29999923706055,75.08999633789062,70.58999633789062,90.30000305175781,40.959999084472656,40.88999938964844,44.77000045776367,75.12000274658203,71.63999938964844,2006578.0,973003.0,0.0,98904.0,699856.0,11158299.0
2023-02-13,88.90402221679688,37.534446716308594,41.290000915527344,45.29403305053711,76.04000091552734,70.65177917480469,89.62999725341797,39.7599983215332,41.290000915527344,46.47999954223633,76.04000091552734,71.4000015258789,91.55000305175781,39.880001068115234,41.290000915527344,46.689998626708984,76.25,71.7300033569336,89.3499984741211,39.31999969482422,41.290000915527344,44.22999954223633,75.3499984741211,71.0,89.88999938964844,39.63999938964844,41.290000915527344,45.970001220703125,75.3499984741211,71.43000030517578,1765666.0,1467672.0,0.0,25156.0,4102.0,10238198.0
